poll,year,place,topic,mode,data,source
UK Crime,1994,Britain,Crime,Face to face,Both,luskin2002b
UK EU,1995,Britain,Britain's future in Europe,Face to face,Both,sturgis2005
UK Monarchy,1996,Britain,Future of the monarchy,Face to face,Both,sturgis2005
National Issues Convention,1996,United States,Foreign and economic policy,Face to face,Both,fishkin1999
Central Power & Light,1996,Texas,Electricity choices,Face to face,Both,luskin1999b
West Texas Utilities,1996,Texas,Electricity choices,Face to face,Both,luskin1999b
Southwestern Electric Power,1996,Texas,Electricity choices,Face to face,Both,luskin1999b
UK General Election,1997,Britain,Electoral choice,Face to face,Both,luskin1999a
UK Health,1998,Britain,National Health Service,Face to face,Both,park1998
Australia Republic Referendum,1999,Australia,Becoming a republic,Face to face,Both,luskin2000
Denmark: Euro,2000,Denmark,Adopting the euro,Face to face,Items,hansen2004
National Issues Convention 2,2003,United States,Foreign policy,Face to face,Participants,luskin2006; pbs2003
By the People: National,2003,United States,Foreign policy,Online,Participants,luskin2006
By the People 2004 US Presidential Primaries,2004,United States,Presidential primaries,Online,Participants,iyengar2005
By the People 2004 Online Primaries,2004,United States,Presidential primaries,Online,Items,iyengar2005
By the People 2004 US General Election,2004,United States,Presidential election,Online,Both,
"New Haven, CT",2004,Connecticut,Airport and regional tax sharing,Face to face,Participants,farrar2010
By the People: Health and Education,2005,United States,Health care and education,Online,Both,pbs2005
Zeguo Township,2005,China,Local infrastructure projects,Face to face,Participants,fishkin2010a
"Marousi, Greece",2006,Greece,Choosing a mayoral candidate,Face to face,Participants,cdd2006marousi
Tomorrow's Europe (EU),2007,European Union,"Pensions, globalization and enlargement",Face to face,Both,luskin2008
Bulgarian National,2007,Bulgaria,"Roma housing, crime and education",Face to face,Both,cdd2007bulgaria
Northern Ireland,2007,Northern Ireland,Local education,Face to face,Items,fishkin2007
Vermont Energy,2007,Vermont,Energy choices,Face to face,Items,
By the People 2007,2007,United States,Electoral reform,Online,Items,
"San Mateo, CA",2008,California,Housing,Face to face,Both,threshold2008
Europolis,2009,European Union,Climate change and immigration,Face to face,Both,
Michigan,2009,Michigan,Economy and budget,Face to face,Items,
California What's Next,2011,California,Government reform,Face to face,Items,
