model,parameter,median,lower,upper
"raw, pooled",mu,0.13254647138261355,0.10007021167916237,0.16512796783202646
"raw, pooled",tau,0.07097923845530289,0.05027279922427376,0.09768796943783478
"raw, by mode",face_to_face,0.14898186859071086,0.11639380460519497,0.18163407142152702
"raw, by mode",online,0.06403388421968155,-0.0023291569032656946,0.13046525757016642
"raw, by mode",tau,0.06340435725418697,0.044104243614939274,0.08851868361105025
"raw SD, pooled",mu,0.6404145137571892,0.5044988949451429,0.777135663047662
"raw SD, pooled",tau,0.3032890415445392,0.23620372488276656,0.38023005567996515
"raw SD, by mode",face_to_face,0.7298970758003426,0.592368395021389,0.8682684930507829
"raw SD, by mode",online,0.2678189067509363,-0.011339004905295364,0.5469265401549499
"raw SD, by mode",tau,0.2729933129421254,0.20802384445863492,0.3482954772975195
