dpnum,pollname,respondents,online,k1_mean,k2_mean,raw,raw_se,k1_sd,raw_sd,raw_sd_se
19,West Texas Utilities,230,0,0.39913043478260873,0.6869565217391305,0.2878260869565218,0.01753020287893481,0.24189775608134537,1.1898667090559187,0.07246947290011137
5,Australia Republic Referendum,347,0,0.5192122958677233,0.758885686840634,0.23967339097291065,0.009436914022931184,0.2186306879849771,1.096247709696543,0.043163721021541264
12,"New Haven, CT",132,0,0.3683712121212121,0.5909090909090909,0.22253787878787878,0.021395987302451396,0.17698869611996343,1.2573564508156045,0.12088900461727305
21,Southwestern Electric Power,232,0,0.4353448275862069,0.6379310344827587,0.20258620689655174,0.020204973066791244,0.2345685217621958,0.8636547025774092,0.08613676257581965
17,"San Mateo, CA",239,0,0.14539748953974893,0.3169456066945607,0.17154811715481175,0.016355745503262437,0.14142042390048218,1.2130363664836028,0.11565334802540266
7,Tomorrow's Europe (EU),344,0,0.36627906975290697,0.5327695560316861,0.16649048627877905,0.012088187358889614,0.18702518142839933,0.890203581182025,0.06463400953051583
11,Europolis,348,0,0.19731800766752874,0.36302681992557473,0.16570881225804598,0.012887228590834174,0.1570801778658769,1.0549314019719067,0.08204236056975915
1,UK EU,238,0,0.5142857142857142,0.6756302521008404,0.16134453781512603,0.022361222769045855,0.28766063992368146,0.5608849992752987,0.0777347320612874
8,Central Power & Light,216,0,0.29365079366064817,0.4543650793652778,0.16071428570462962,0.015023770180976951,0.18622045340177235,0.8630324047052289,0.08067733649301685
3,UK Monarchy,258,0,0.6481481481604651,0.7937123169802326,0.14556416881976744,0.011731680671477356,0.19379743301288085,0.7511150511993233,0.06053578981460298
13,National Issues Convention 2,340,0,0.3729946607226471,0.4959893142464706,0.12299465352382354,0.008567283375117654,0.16534351777663817,0.7438734531460525,0.051815054441330805
16,By the People 2004 US Presidential Primaries,217,1,0.5148123873539171,0.6333114006336406,0.1184990132797235,0.013851998325467935,0.2776502643430148,0.4267923661449405,0.04989009593866222
9,Zeguo Township,233,0,0.31330472103004275,0.4248927038626609,0.111587982832618,0.02624145365938149,0.30796716241211064,0.3623372763466741,0.08520860943046296
4,UK General Election,275,0,0.5447272745858182,0.6475151515152727,0.10278787692945454,0.011883752336880828,0.20892368044465146,0.4919876804328332,0.0568808299355472
6,UK Crime,299,0,0.5222169135187291,0.6168179646381271,0.09460105111939798,0.012340445252104976,0.23134676456252898,0.4089145197179923,0.05334176717552309
10,Bulgarian National,278,0,0.43165467626187054,0.5246659814985611,0.09301130523669064,0.017901136632153397,0.24667097651855674,0.3770662708253134,0.07257090754982566
2,UK Health,230,0,0.6579710144908696,0.736956521732174,0.07898550724130435,0.015012590231161334,0.22661729732046812,0.34854138750762675,0.06624644459478951
22,"Marousi, Greece",146,0,0.3581213404952055,0.4369047754716667,0.07500000336000001,0.01874732063851849,0.1539958765293462,0.48702604933520827,0.12173910796206228
15,By the People 2004 US General Election,246,1,0.754290885605691,0.8279132866231708,0.07362240101747967,0.010370145694942212,0.23468543564047598,0.3137067318070167,0.04418742759490476
18,By the People: Health and Education,454,1,0.3748164512063877,0.41005874310154183,0.0352422918951542,0.011503192104646473,0.22599010113291346,0.15594617515758735,0.05090130960152544
14,By the People: National,245,1,0.39332097392040816,0.4278293231355102,0.03450834921510204,0.009835233300596262,0.1765132920654367,0.19550000349157368,0.05571950523108572
20,National Issues Convention,466,0,0.4652750682783262,0.4773702692233906,0.012095200945064381,0.012035139473685815,0.20629515936607215,0.05863056109620762,0.058339417709406254
