poll,year,topic,mode,control_group,item_answers
UK Crime,1994,Crime,Face to face,FALSE,TRUE
UK EU,1995,Britain's future in Europe,Face to face,FALSE,TRUE
Central Power & Light,1996,Electricity choices,Face to face,FALSE,TRUE
National Issues Convention,1996,Foreign and economic policy,Face to face,FALSE,TRUE
Southwestern Electric Power,1996,Electricity choices,Face to face,FALSE,TRUE
UK Monarchy,1996,Future of the monarchy,Face to face,FALSE,TRUE
West Texas Utilities,1996,Electricity choices,Face to face,FALSE,TRUE
UK General Election,1997,Electoral choice,Face to face,FALSE,TRUE
UK Health,1998,National Health Service,Face to face,FALSE,TRUE
Australia Republic Referendum,1999,Becoming a republic,Face to face,FALSE,TRUE
Denmark: Euro,2000,Adopting the euro,Face to face,FALSE,TRUE
Bulgarian National Crime Poll,2002,Crime and criminal justice,Face to face,FALSE,TRUE
By the People: National,2003,Foreign policy,Online,FALSE,TRUE
National Issues Convention 2,2003,Foreign policy,Face to face,FALSE,TRUE
By the People 2004 Online Primaries,2004,Presidential primaries,Online,FALSE,TRUE
By the People 2004 US General Election,2004,Presidential election,Online,FALSE,TRUE
By the People 2004 US Presidential Primaries,2004,Presidential primaries,Online,FALSE,TRUE
"New Haven, CT",2004,Airport and regional tax sharing,Face to face,FALSE,TRUE
By the People: Health and Education,2005,Health care and education,Online,FALSE,TRUE
Zeguo Township,2005,Local infrastructure projects,Face to face,FALSE,TRUE
"Marousi, Greece",2006,Choosing a mayoral candidate,Face to face,FALSE,FALSE
By the People 2007,2007,Electoral reform,Online,FALSE,TRUE
Northern Ireland,2007,Local education,Face to face,FALSE,TRUE
Tomorrow's Europe (EU),2007,"Pensions, globalization and enlargement",Face to face,FALSE,TRUE
Vermont Energy,2007,Energy choices,Face to face,FALSE,TRUE
"San Mateo, CA",2008,Housing,Face to face,FALSE,TRUE
Europolis,2009,Climate change and immigration,Face to face,FALSE,TRUE
Michigan,2009,Economy and budget,Face to face,FALSE,TRUE
California What's Next,2011,Government reform,Face to face,FALSE,TRUE
Tanzania,2015,Resource governance,Face to face,TRUE,FALSE
America in One Room,2019,National policy,Face to face,TRUE,TRUE
America in One Room: Climate,2021,Climate and energy,Online,TRUE,TRUE
Antimicrobial Resistance,2024,Antimicrobial resistance,Online,TRUE,TRUE
